birdie,bogey,dbl,driveAcc,driveYards,eagle,gir,ip,name,pars,ppgGir,toPar,year
9,7,1,53.6,267.4,0,56.9,T59,David Hearn,55,1.854,E,2017
14,11,2,67.9,268.5,0,56.9,T64,Vaughn Taylor,45,1.683,+1,2017
12,9,2,62.5,275.2,0,59.7,T64,Martin Laird,49,1.814,+1,2017
12,6,2,48.2,265.5,0,66.7,T64,Ryan Blaum,51,1.792,+1,2017
13,10,0,51.8,267.6,0,58.3,T64,K.J. Choi,48,1.714,+1,2017
9,8,1,75,289.3,0,63.9,T64,Andrew Johnston,54,1.870,+1,2017
15,15,1,58.9,277.2,0,56.9,69,Yuta Ikeda,41,1.756,+2,2017
12,11,2,46.4,279.1,0,54.2,T70,Pat Perez,47,1.846,+3,2017
14,17,0,55.4,290.6,0,63.9,T70,Trey Mullinax,41,1.761,+3,2017
10,7,3,57.1,274.6,0,58.3,T70,Ben Crane,52,1.833,+3,2017
13,12,2,51.8,287.7,0,62.5,T70,Steve Marino,45,1.756,+3,2017
7,12,1,46.4,266.1,0,51.4,74,Mark Hubbard,52,1.892,+7,2017
21,9,0,80.4,271,0,61.1,1,Brandt Snedeker,42,1.591,-12,2011
20,6,1,76.8,276.2,0,66.7,2,Luke Donald,45,1.646,-12,2011
18,9,0,69.6,291.6,1,62.5,3,Tommy Gainey,44,1.689,-11,2011
18,6,1,57.1,287.4,0,72.2,T4,Tim Herron,47,1.673,-10,2011
19,7,0,75,271.6,0,68.1,1,Satoshi Kodaira,46,1.735,-12,2018
18,7,1,53.6,280.2,0,61.1,1,Branden Grace,46,1.727,-9,2016
15,7,0,73.2,288.6,1,62.5,T4,Ricky Barnes,49,1.689,-10,2011
15,4,0,75,272.4,0,63.9,T6,Nick O'Hern,52,1.739,-8,2011
22,7,0,55.4,287,0,68.1,2,Si Woo Kim,42,1.612,-12,2018
22,6,2,60.7,291.4,1,63.9,T3,Bryson DeChambeau,40,1.522,-11,2018
19,10,0,62.5,297.7,1,66.7,T3,Luke List,42,1.625,-11,2018
18,9,1,76.8,267.5,0,61.1,T2,Russell Knox,44,1.659,-7,2016
14,5,1,58.9,278.5,0,62.5,T2,Luke Donald,52,1.733,-7,2016
17,10,1,48.2,296.3,0,56.9,T4,Bryson DeChambeau,44,1.659,-5,2016
18,6,2,73.2,287.5,0,65.3,T6,Pat Perez,46,1.681,-8,2011
12,6,0,76.8,277.2,1,58.3,T6,Ben Crane,53,1.738,-8,2011
17,8,1,67.9,269.8,0,48.6,T9,Kevin Na,46,1.571,-7,2011
16,6,0,75,275.8,0,63.4,T5,Webb Simpson,50,1.717,-10,2018
21,9,1,62.5,278.6,0,66.7,T5,Billy Horschel,41,1.553,-10,2018
16,9,0,67.9,296.8,1,70.8,T7,Patrick Cantlay,46,1.706,-9,2018
16,9,1,62.5,268.1,0,65.3,T4,Kevin Na,46,1.702,-5,2016
15,6,1,60.7,275.2,0,56.9,T6,Bryce Molder,49,1.683,-4,2016
17,11,1,64.3,277.3,0,56.9,T6,Whee Kim,43,1.659,-4,2016
17,10,1,80.4,274.6,1,69.4,T9,Paul Goydos,43,1.720,-7,2011
17,10,0,76.8,271,0,68.1,T9,Scott Verplank,45,1.694,-7,2011
19,6,2,58.9,286.4,0,62.5,T7,Kevin Streelman,45,1.600,-9,2018
16,5,2,71.4,263.4,1,65.3,T7,Bill Haas,48,1.681,-9,2018
15,10,0,58.9,289.6,2,63.9,T7,Byeong-Hun An,45,1.717,-9,2018
14,5,1,55.4,295,0,65.3,T6,Jason Kokrak,51,1.809,-4,2016
11,2,3,55.4,289.7,0,48.6,T9,Ricky Barnes,56,1.743,-3,2016
15,10,1,46.4,284,0,51.4,T9,Aaron Baddeley,46,1.703,-3,2016
20,9,2,75,271.7,0,66.7,T9,Garrett Willis,41,1.604,-7,2011
18,11,0,48.2,292,0,61.1,T9,Jason Day,43,1.705,-7,2011
15,9,0,71.4,291.9,0,69.4,T14,Chad Campbell,48,1.740,-6,2011
18,7,1,64.3,283.1,0,65.3,T7,Chesson Hadley,46,1.617,-9,2018
15,6,0,64.3,268.9,0,68.1,T7,Kevin Kisner,51,1.735,-9,2018
17,8,0,60.7,284.6,0,62.5,T7,Ian Poulter,47,1.667,-9,2018
13,8,1,57.1,281,0,61.1,T9,William McGirt,50,1.795,-3,2016
16,9,2,62.5,267.5,0,59.7,T9,Kevin Chappell,45,1.721,-3,2016
16,6,3,73.2,295.2,1,56.9,T14,Webb Simpson,46,1.683,-6,2011
13,7,1,66.1,277,1,56.9,T14,Jason Dufner,50,1.756,-6,2011
20,10,2,66.1,270,0,61.1,T14,Aaron Baddeley,40,1.659,-6,2011
15,7,1,67.9,279.3,1,65.3,T14,Matthew Fitzpatrick,48,1.681,-8,2018
16,4,2,69.6,284.6,0,63.9,T14,Jonas Blixt,50,1.717,-8,2018
9,6,0,53.6,276.5,0,56.9,T9,Matt Kuchar,57,1.829,-3,2016
13,11,0,57.1,290.8,0,58.3,T14,Ernie Els,48,1.738,-2,2016
16,8,1,62.5,274.5,0,68.1,T14,Spencer Levin,47,1.714,-6,2011
19,11,1,62.5,292.3,0,63.9,T14,Chris Couch,41,1.609,-6,2011
19,10,1,64.3,283.4,0,61.1,T16,Beau Hossler,42,1.568,-7,2018
19,10,1,67.9,279.8,0,63.9,T16,J.J. Henry,42,1.652,-7,2018
14,12,0,60.7,270.7,0,55.6,T14,David Toms,46,1.750,-2,2016
12,6,3,67.9,264.7,1,56.9,T14,Colt Knost,50,1.683,-2,2016
